timestamp,open,high,low,close,volume
2026-01-20 09:15:00,25344.65,25355.25,25341.0,25346.55,4842005.0
2026-01-20 09:20:00,25347.45,25350.7,25326.35,25336.4,4517651.0
2026-01-20 09:25:00,25337.35,25342.8,25311.45,25311.7,6812252.0
2026-01-20 09:30:00,25310.3,25311.0,25265.3,25277.7,13924255.0
2026-01-20 09:35:00,25277.0,25290.7,25267.5,25267.5,12421044.0
2026-01-20 09:40:00,25269.3,25269.3,25213.85,25217.05,15013141.0
2026-01-20 09:45:00,25215.05,25239.3,25194.6,25200.05,14312571.0
2026-01-20 09:50:00,25199.25,25199.85,25177.2,25180.55,13675557.0
2026-01-20 09:55:00,25178.1,25230.35,25171.35,25225.35,13032375.0
2026-01-20 10:00:00,25225.35,25225.35,25225.35,25225.35,1969846.0
2026-01-21 09:15:00,25149.0,25158.45,25142.65,25155.85,3775741.0
2026-01-21 09:20:00,25155.55,25164.05,25143.15,25153.95,3922181.0
2026-01-21 09:25:00,25153.2,25157.8,25137.65,25143.15,3365107.0
2026-01-21 09:30:00,25143.75,25177.8,25135.35,25177.5,8969927.0
2026-01-21 09:35:00,25178.45,25182.5,25156.8,25165.7,9133334.0
2026-01-21 09:40:00,25165.45,25169.3,25144.75,25155.0,8171323.0
2026-01-21 09:45:00,25155.2,25162.2,25145.85,25159.9,8611055.0
2026-01-21 09:50:00,25159.35,25160.15,25140.55,25152.8,9168384.0
2026-01-21 09:55:00,25152.05,25171.7,25145.8,25168.1,9985322.0
2026-01-22 09:15:00,25284.1,25318.2,25284.1,25298.45,6966911.0
2026-01-22 09:20:00,25297.4,25309.15,25278.5,25279.55,5002230.0
2026-01-22 09:25:00,25284.35,25308.1,25281.65,25297.0,5618613.0
2026-01-22 09:30:00,25295.5,25296.55,25238.8,25258.85,14819495.0
2026-01-22 09:35:00,25257.25,25287.0,25250.45,25282.35,11694721.0
2026-01-22 09:40:00,25280.8,25302.0,25280.55,25288.55,9845366.0
2026-01-22 09:45:00,25288.45,25315.2,25287.6,25305.6,13028680.0
2026-01-22 09:50:00,25304.5,25332.35,25302.45,25316.65,12853189.0
2026-01-22 09:55:00,25315.5,25327.5,25311.25,25320.45,10869158.0
2026-01-22 10:00:00,25320.45,25320.45,25320.45,25320.45,1347831.0
2026-01-23 09:15:00,25089.15,25100.8,25057.3,25058.35,5845892.0
2026-01-23 09:20:00,25058.15,25085.8,25058.15,25077.05,5424880.0
2026-01-23 09:25:00,25079.35,25106.15,25079.35,25090.65,6128145.0
2026-01-23 09:30:00,25093.9,25096.0,25055.85,25060.25,10401104.0
2026-01-23 09:35:00,25060.55,25061.05,25028.25,25029.95,9447730.0
2026-01-23 09:40:00,25031.9,25048.7,25029.9,25045.85,11236016.0
2026-01-23 09:45:00,25046.5,25062.85,25025.3,25039.25,11922819.0
2026-01-23 09:50:00,25040.85,25049.8,25034.7,25048.0,13227134.0
2026-01-23 09:55:00,25049.6,25074.5,25045.9,25064.75,12367300.0
2026-01-27 09:15:00,25088.9,25116.05,25088.3,25115.2,13582761.0
2026-01-27 09:20:00,25115.9,25145.8,25115.15,25142.5,14045095.0
2026-01-27 09:25:00,25143.6,25155.3,25116.55,25139.45,11752078.0
2026-01-27 09:30:00,25143.3,25145.55,25100.75,25128.85,20331368.0
2026-01-27 09:35:00,25130.5,25160.25,25125.9,25147.7,19495251.0
2026-01-27 09:40:00,25142.95,25175.35,25142.75,25170.4,20906925.0
2026-01-27 09:45:00,25169.25,25207.35,25168.05,25202.9,20444587.0
2026-01-27 09:50:00,25203.95,25230.2,25190.65,25229.95,21950477.0
2026-01-27 09:55:00,25230.4,25246.65,25225.7,25234.1,17489109.0
2026-01-28 09:15:00,25252.05,25280.85,25251.2,25280.5,7427174.0
2026-01-28 09:20:00,25280.9,25309.55,25278.0,25307.2,12894523.0
2026-01-28 09:25:00,25307.75,25329.05,25307.75,25320.7,10882179.0
2026-01-28 09:30:00,25320.8,25344.5,25320.8,25334.35,16463067.0
2026-01-28 09:35:00,25333.6,25344.1,25323.2,25333.2,12772707.0
2026-01-28 09:40:00,25333.2,25334.65,25322.5,25329.65,12565329.0
2026-01-28 09:45:00,25330.95,25356.45,25330.45,25350.55,13442930.0
2026-01-28 09:50:00,25350.55,25357.9,25346.4,25351.6,13376797.0
2026-01-28 09:55:00,25350.5,25358.4,25341.0,25348.05,11569757.0
2026-01-29 09:15:00,25439.7,25455.45,25436.2,25451.2,7572845.0
2026-01-29 09:20:00,25451.5,25458.15,25440.05,25444.85,9904117.0
2026-01-29 09:25:00,25444.8,25444.8,25429.95,25434.8,9135038.0
2026-01-29 09:30:00,25436.95,25445.9,25408.0,25419.4,22092800.0
2026-01-29 09:35:00,25420.0,25433.85,25408.0,25421.45,17136902.0
2026-01-29 09:40:00,25423.0,25428.35,25407.6,25407.6,16638336.0
2026-01-29 09:45:00,25407.65,25431.65,25405.1,25421.55,21761208.0
2026-01-29 09:50:00,25421.5,25427.7,25408.7,25412.45,23978721.0
2026-01-29 09:55:00,25413.85,25425.95,25405.7,25422.1,15882251.0
2026-01-29 10:00:00,25422.1,25422.1,25422.1,25422.1,1880935.0
2026-01-30 09:15:00,25310.15,25351.95,25302.2,25348.3,7039557.0
2026-01-30 09:20:00,25347.3,25357.8,25343.15,25352.45,8006149.0
2026-01-30 09:25:00,25351.65,25368.8,25340.35,25352.45,7187928.0
2026-01-30 09:30:00,25352.45,25354.2,25293.3,25314.05,25979818.0
2026-01-30 09:35:00,25314.35,25324.5,25306.5,25320.9,22826748.0
2026-01-30 09:40:00,25322.0,25333.85,25318.2,25319.7,22876347.0
2026-01-30 09:45:00,25321.0,25343.9,25316.45,25324.45,25577693.0
2026-01-30 09:50:00,25325.15,25327.25,25311.05,25313.25,25962043.0
2026-01-30 09:55:00,25313.85,25337.65,25309.6,25315.8,20656096.0
2026-02-02 09:15:00,24954.85,24998.35,24952.85,24993.8,6365318.0
2026-02-02 09:20:00,24993.95,25022.85,24989.5,25019.3,6549166.0
2026-02-02 09:25:00,25019.05,25035.05,25014.05,25032.15,5638160.0
2026-02-02 09:30:00,25033.3,25079.15,25033.3,25069.35,13301349.0
2026-02-02 09:35:00,25068.65,25093.3,25068.65,25089.35,11214083.0
2026-02-02 09:40:00,25086.85,25091.9,25078.3,25086.75,13215973.0
2026-02-02 09:45:00,25086.45,25108.1,25085.85,25097.0,13112440.0
2026-02-02 09:50:00,25097.0,25097.7,25084.3,25090.5,14277677.0
2026-02-02 09:55:00,25090.8,25099.25,25069.5,25079.9,13784305.0
2026-02-02 10:00:00,25079.9,25079.9,25079.9,25079.9,1592049.0
2026-02-03 09:15:00,25746.2,25767.65,25740.2,25762.0,6494792.0
2026-02-03 09:20:00,25761.55,25770.0,25749.3,25764.0,5514531.0
2026-02-03 09:25:00,25763.55,25790.35,25760.85,25778.05,6279514.0
2026-02-03 09:30:00,25778.75,25780.45,25714.45,25719.65,13245680.0
2026-02-03 09:35:00,25719.9,25737.5,25696.85,25716.85,15630943.0
2026-02-03 09:40:00,25717.15,25739.25,25699.8,25717.85,16530183.0
2026-02-03 09:45:00,25721.9,25749.45,25706.05,25741.3,18268347.0
2026-02-03 09:50:00,25741.6,25741.6,25726.75,25730.45,16252765.0
2026-02-03 09:55:00,25731.15,25732.2,25708.5,25714.8,14523982.0
2026-02-04 09:15:00,25809.7,25812.65,25782.25,25795.05,7370580.0
2026-02-04 09:20:00,25795.25,25799.55,25791.5,25795.65,5904761.0
2026-02-04 09:25:00,25795.3,25798.7,25779.85,25782.65,5341472.0
2026-02-04 09:30:00,25784.8,25812.4,25784.8,25789.9,11207114.0
2026-02-04 09:35:00,25790.05,25796.55,25780.2,25784.65,9575938.0
2026-02-04 09:40:00,25785.45,25789.3,25780.35,25783.1,11639670.0
2026-02-04 09:45:00,25783.0,25790.25,25768.95,25768.95,11942291.0
2026-02-04 09:50:00,25770.1,25771.45,25755.9,25759.7,13010189.0
2026-02-04 09:55:00,25760.85,25764.6,25737.5,25737.5,12134301.0
2026-02-05 09:15:00,25624.25,25626.9,25609.05,25620.8,4683030.0
2026-02-05 09:20:00,25620.2,25632.1,25618.05,25630.2,4099862.0
2026-02-05 09:25:00,25630.15,25649.0,25630.15,25645.2,5108305.0
2026-02-05 09:30:00,25646.05,25669.45,25645.95,25665.25,9358361.0
2026-02-05 09:35:00,25665.55,25669.75,25631.2,25643.2,10358956.0
2026-02-05 09:40:00,25644.75,25649.45,25630.45,25647.8,10199116.0
